distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,pareja,sentido,orden_excel,dimensiones_repetidas,posicion,sentido_seleccionado,seleccionada,tipo_seleccion
10-22,2,UjaNet,DeepONMF_H2,0.9732,0.0065726706900619,0.933,0.0164316767251549,0.9832500000000002,0.0041079191812887,0.9344338366949944,0.0161918362147129,0.958125,0.0102697979532218,88,creciente,175,False,10,decreciente,False,mejor_global_de_la_pareja
18-13-10,3,UjaNet,DeepONMF_H3,0.9784,0.0116103402189599,0.946,0.0290258505474,0.9864999999999998,0.00725646263685,0.94682243948429,0.0292975477653546,0.96625,0.0181411565921249,119,decreciente,236,False,11,decreciente,True,mejor_global_de_la_pareja
10-13-18,3,UjaNet,DeepONMF_H3,0.9656,0.0155820409446258,0.914,0.0389551023615648,0.9785,0.0097387755903912,0.917485083665,0.0343606916534177,0.94625,0.024346938975978,119,creciente,237,False,11,decreciente,False,mejor_global_de_la_pareja
28-6,2,UjaNet,DeepONMF_H2,0.9784,0.008173126696681,0.946,0.0204328167417025,0.9865,0.0051082041854256,0.9465964543765606,0.0201270247326703,0.96625,0.012770510463564,37,decreciente,72,False,12,decreciente,True,mejor_global_de_la_pareja
6-28,2,UjaNet,DeepONMF_H2,0.9688,0.0099599196783909,0.922,0.0248997991959774,0.9805,0.0062249497989943,0.923913667546044,0.0230381739860473,0.95125,0.0155623744974859,37,creciente,73,False,12,decreciente,False,mejor_global_de_la_pareja
28-10,2,UjaNet,DeepONMF_H2,0.978,0.0090553851381374,0.945,0.0226384628453435,0.9862499999999998,0.0056596157113358,0.9464352559755944,0.0222134174231582,0.965625,0.0141490392783397,43,decreciente,84,False,13,decreciente,True,mejor_global_de_la_pareja
10-28,2,UjaNet,DeepONMF_H2,0.9692,0.0116275534829989,0.923,0.0290688837074971,0.98075,0.0072672209268743,0.925532004265846,0.0279773576751056,0.951875,0.0181680523171858,43,creciente,85,False,13,decreciente,False,mejor_global_de_la_pareja
12-6,2,UjaNet,DeepONMF_H2,0.978,0.010295630140987,0.945,0.0257390753524675,0.98625,0.0064347688381168,0.9462563561397488,0.0253580817211903,0.965625,0.0160869220952921,157,decreciente,312,False,14,decreciente,True,mejor_global_de_la_pareja
6-12,2,UjaNet,DeepONMF_H2,0.9732,0.0060991802727907,0.933,0.0152479506819769,0.98325,0.0038119876704941,0.9344523719803068,0.0144376490165455,0.958125,0.0095299691762355,157,creciente,313,False,14,decreciente,False,mejor_global_de_la_pareja
14-9-6,3,UjaNet,DeepONMF_H3,0.978,0.0088317608663278,0.945,0.0220794021658196,0.9862499999999998,0.0055198505414549,0.9462039098131584,0.0221566316682092,0.965625,0.0137996263536372,143,decreciente,284,False,15,decreciente,True,mejor_global_de_la_pareja
6-9-14,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0067230945255886,0.938,0.0168077363139715,0.9845,0.0042019340784928,0.940019302679541,0.0165309547279571,0.96125,0.0105048351962322,143,creciente,285,False,15,decreciente,False,mejor_global_de_la_pareja
12-10-9-8,4,UjaNet,DeepONMF_H4,0.9764,0.0082945765413311,0.941,0.0207364413533277,0.98525,0.0051841103383319,0.9420584709545212,0.0208070165194287,0.963125,0.0129602758458298,162,decreciente,322,False,16,creciente,False,mejor_global_de_la_pareja
8-9-10-12,4,UjaNet,DeepONMF_H4,0.9776,0.010807404868885,0.944,0.0270185121722126,0.986,0.0067546280430531,0.9461876107283343,0.0250081875472834,0.965,0.0168865701076328,162,creciente,323,False,16,creciente,True,mejor_global_de_la_pareja
12-8-6,3,UjaNet,DeepONMF_H3,0.9775999999999998,0.0108074048688851,0.944,0.0270185121722126,0.986,0.0067546280430531,0.9460534511675878,0.025712516114349,0.965,0.0168865701076328,158,decreciente,314,False,17,decreciente,True,mejor_global_de_la_pareja
6-8-12,3,UjaNet,DeepONMF_H3,0.9752,0.0108258948821795,0.938,0.0270647372054487,0.9845,0.0067661843013622,0.9408996031731948,0.0245765529509451,0.96125,0.0169154607534054,158,creciente,315,False,17,decreciente,False,mejor_global_de_la_pareja
26-8,2,UjaNet,DeepONMF_H2,0.9775999999999998,0.0092086915465771,0.944,0.0230217288664426,0.986,0.0057554322166106,0.9455487187874064,0.0224220088187848,0.965,0.0143885805415266,55,decreciente,108,False,18,decreciente,True,mejor_global_de_la_pareja
8-26,2,UjaNet,DeepONMF_H2,0.9664,0.0121983605455815,0.916,0.0304959013639538,0.979,0.0076239753409884,0.9173837749115294,0.0303496711675231,0.9475,0.0190599383524711,55,creciente,109,False,18,decreciente,False,mejor_global_de_la_pareja
28-8,2,UjaNet,DeepONMF_H2,0.9776,0.008173126696681,0.944,0.0204328167417025,0.986,0.0051082041854257,0.9454880280529172,0.020094169962104,0.965,0.0127705104635641,40,decreciente,78,False,19,decreciente,True,mejor_global_de_la_pareja
8-28,2,UjaNet,DeepONMF_H2,0.9676,0.0065421708935184,0.919,0.0163554272337961,0.97975,0.004088856808449,0.9201294251193411,0.0169105067124471,0.949375,0.0102221420211226,40,creciente,79,False,19,decreciente,False,mejor_global_de_la_pareja
16-4,2,UjaNet,DeepONMF_H2,0.9776,0.0049799598391954,0.9440000000000002,0.0124498995979886,0.986,0.0031124748994971,0.9454877142887412,0.0124668377193328,0.965,0.0077811872487429,124,decreciente,246,False,20,decreciente,True,mejor_global_de_la_pareja
4-16,2,UjaNet,DeepONMF_H2,0.9728,0.0079498427657407,0.932,0.0198746069143518,0.983,0.0049686517285879,0.93293742098241,0.0198164629089022,0.9575,0.0124216293214698,124,creciente,247,False,20,decreciente,False,mejor_global_de_la_pareja
