clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
SVM,DeepONMF_F8,3,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
SVM,DeepONMF_F8,4,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
SVM,DeepONMF_F8,5,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
KNN,STFT,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
KNN,STFT,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
KNN,STFT,3,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,STFT,4,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,STFT,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,MFCC,1,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
KNN,MFCC,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,MFCC,3,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
KNN,MFCC,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,MFCC,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,MelSpectrogram,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
KNN,MelSpectrogram,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
KNN,MelSpectrogram,3,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,MelSpectrogram,4,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,MelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,DeepONMF_W,1,152,35,5,8,0.935,0.95,0.875,0.9681528662420382,0.9125
KNN,DeepONMF_W,2,146,36,4,14,0.91,0.9125,0.9,0.9733333333333334,0.90625
KNN,DeepONMF_W,3,147,34,6,13,0.905,0.91875,0.85,0.9607843137254902,0.8843749999999999
KNN,DeepONMF_W,4,152,35,5,8,0.935,0.95,0.875,0.9681528662420382,0.9125
KNN,DeepONMF_W,5,152,38,2,8,0.95,0.95,0.95,0.987012987012987,0.95
KNN,DeepONMF_H3,1,157,30,10,3,0.935,0.98125,0.75,0.9401197604790419,0.865625
KNN,DeepONMF_H3,2,158,30,10,2,0.94,0.9875,0.75,0.9404761904761905,0.86875
KNN,DeepONMF_H3,3,154,26,14,6,0.9,0.9625,0.65,0.9166666666666666,0.80625
KNN,DeepONMF_H3,4,157,29,11,3,0.93,0.98125,0.725,0.9345238095238095,0.8531249999999999
KNN,DeepONMF_H3,5,159,26,14,1,0.925,0.99375,0.65,0.9190751445086706,0.821875
KNN,DeepONMF_Mejorado,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
KNN,DeepONMF_Mejorado,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
KNN,DeepONMF_Mejorado,3,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
KNN,DeepONMF_Mejorado,4,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
KNN,DeepONMF_Mejorado,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,DeepONMF_F8,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
KNN,DeepONMF_F8,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
KNN,DeepONMF_F8,3,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
KNN,DeepONMF_F8,4,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
KNN,DeepONMF_F8,5,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
UjaNet,STFT,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,STFT,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,STFT,3,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
UjaNet,STFT,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,STFT,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,DeepONMF_W,1,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
UjaNet,DeepONMF_W,2,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
UjaNet,DeepONMF_W,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
UjaNet,DeepONMF_W,4,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
UjaNet,DeepONMF_W,5,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
UjaNet,DeepONMF_H3,1,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
UjaNet,DeepONMF_H3,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
UjaNet,DeepONMF_H3,3,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
UjaNet,DeepONMF_H3,4,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
UjaNet,DeepONMF_H3,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,DeepONMF_Mejorado,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
UjaNet,DeepONMF_Mejorado,2,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
UjaNet,DeepONMF_Mejorado,3,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
UjaNet,DeepONMF_Mejorado,4,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
UjaNet,DeepONMF_Mejorado,5,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
UjaNet,DeepONMF_F8,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
UjaNet,DeepONMF_F8,2,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
UjaNet,DeepONMF_F8,3,160,36,4,0,0.98,1.0,0.9,0.975609756097561,0.95
UjaNet,DeepONMF_F8,4,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
UjaNet,DeepONMF_F8,5,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
