clasificador,representacion,clase,etiqueta_binaria,archivo,ruta,fold,pred_binaria,pred_multiclase,indice_interno
SVM,STFT,N,normal,New_N_064.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_064.wav,1,normal,N,63
SVM,STFT,N,normal,New_N_065.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_065.wav,1,normal,N,64
SVM,STFT,N,normal,New_N_077.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_077.wav,1,normal,N,76
SVM,STFT,N,normal,New_N_081.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_081.wav,1,normal,N,80
SVM,STFT,N,normal,New_N_088.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_088.wav,1,normal,N,87
SVM,STFT,N,normal,New_N_091.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_091.wav,1,normal,N,90
SVM,STFT,N,normal,New_N_094.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_094.wav,1,normal,N,93
SVM,STFT,N,normal,New_N_095.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_095.wav,1,normal,N,94
SVM,STFT,N,normal,New_N_098.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_098.wav,1,normal,N,97
SVM,STFT,N,normal,New_N_099.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_099.wav,1,normal,N,98
SVM,STFT,N,normal,New_N_101.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_101.wav,1,normal,N,100
SVM,STFT,N,normal,New_N_102.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_102.wav,1,normal,N,101
SVM,STFT,N,normal,New_N_107.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_107.wav,1,normal,N,106
SVM,STFT,N,normal,New_N_112.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_112.wav,1,anomalo,MVP,111
SVM,STFT,N,normal,New_N_120.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_120.wav,1,normal,N,119
SVM,STFT,N,normal,New_N_125.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_125.wav,1,normal,N,124
SVM,STFT,N,normal,New_N_126.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_126.wav,1,normal,N,125
SVM,STFT,N,normal,New_N_130.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_130.wav,1,normal,N,129
SVM,STFT,N,normal,New_N_137.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_137.wav,1,normal,N,136
SVM,STFT,N,normal,New_N_146.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_146.wav,1,normal,N,145
SVM,STFT,N,normal,New_N_147.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_147.wav,1,normal,N,146
SVM,STFT,N,normal,New_N_154.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_154.wav,1,normal,N,153
SVM,STFT,N,normal,New_N_155.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_155.wav,1,normal,N,154
SVM,STFT,N,normal,New_N_159.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_159.wav,1,normal,N,158
SVM,STFT,N,normal,New_N_173.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_173.wav,1,normal,N,172
SVM,STFT,N,normal,New_N_178.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_178.wav,1,normal,N,177
SVM,STFT,N,normal,New_N_181.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_181.wav,1,normal,N,180
SVM,STFT,N,normal,New_N_193.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_193.wav,1,normal,N,192
SVM,STFT,N,normal,New_N_197.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_197.wav,1,normal,N,196
SVM,STFT,AS,anomalo,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_002.wav,1,anomalo,AS,201
SVM,STFT,AS,anomalo,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_013.wav,1,anomalo,AS,212
SVM,STFT,AS,anomalo,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_019.wav,1,anomalo,AS,218
SVM,STFT,AS,anomalo,New_AS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_026.wav,1,anomalo,AS,225
SVM,STFT,AS,anomalo,New_AS_030.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_030.wav,1,anomalo,AS,229
SVM,STFT,AS,anomalo,New_AS_033.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_033.wav,1,anomalo,AS,232
SVM,STFT,AS,anomalo,New_AS_035.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_035.wav,1,anomalo,AS,234
SVM,STFT,AS,anomalo,New_AS_037.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_037.wav,1,anomalo,AS,236
SVM,STFT,AS,anomalo,New_AS_039.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_039.wav,1,anomalo,AS,238
SVM,STFT,AS,anomalo,New_AS_041.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_041.wav,1,anomalo,AS,240
SVM,STFT,AS,anomalo,New_AS_047.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_047.wav,1,anomalo,AS,246
SVM,STFT,AS,anomalo,New_AS_053.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_053.wav,1,anomalo,AS,252
SVM,STFT,AS,anomalo,New_AS_055.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_055.wav,1,anomalo,AS,254
SVM,STFT,AS,anomalo,New_AS_060.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_060.wav,1,anomalo,AS,259
SVM,STFT,AS,anomalo,New_AS_070.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_070.wav,1,anomalo,AS,269
SVM,STFT,AS,anomalo,New_AS_071.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_071.wav,1,anomalo,AS,270
SVM,STFT,AS,anomalo,New_AS_074.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_074.wav,1,anomalo,AS,273
SVM,STFT,AS,anomalo,New_AS_081.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_081.wav,1,anomalo,AS,280
SVM,STFT,AS,anomalo,New_AS_089.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_089.wav,1,anomalo,AS,288
SVM,STFT,AS,anomalo,New_AS_090.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_090.wav,1,anomalo,AS,289
SVM,STFT,AS,anomalo,New_AS_095.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_095.wav,1,anomalo,AS,294
SVM,STFT,AS,anomalo,New_AS_100.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_100.wav,1,anomalo,AS,299
SVM,STFT,AS,anomalo,New_AS_106.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_106.wav,1,anomalo,AS,305
SVM,STFT,AS,anomalo,New_AS_107.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_107.wav,1,anomalo,AS,306
SVM,STFT,AS,anomalo,New_AS_113.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_113.wav,1,anomalo,AS,312
SVM,STFT,AS,anomalo,New_AS_116.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_116.wav,1,anomalo,AS,315
SVM,STFT,AS,anomalo,New_AS_117.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_117.wav,1,anomalo,AS,316
SVM,STFT,AS,anomalo,New_AS_119.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_119.wav,1,anomalo,AS,318
SVM,STFT,AS,anomalo,New_AS_120.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_120.wav,1,anomalo,AS,319
SVM,STFT,AS,anomalo,New_AS_123.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_123.wav,1,anomalo,AS,322
SVM,STFT,AS,anomalo,New_AS_128.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_128.wav,1,anomalo,AS,327
SVM,STFT,AS,anomalo,New_AS_146.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_146.wav,1,anomalo,AS,345
SVM,STFT,AS,anomalo,New_AS_147.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_147.wav,1,anomalo,AS,346
SVM,STFT,AS,anomalo,New_AS_151.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_151.wav,1,anomalo,AS,350
SVM,STFT,AS,anomalo,New_AS_157.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_157.wav,1,anomalo,AS,356
SVM,STFT,AS,anomalo,New_AS_162.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_162.wav,1,anomalo,AS,361
SVM,STFT,AS,anomalo,New_AS_166.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_166.wav,1,anomalo,AS,365
SVM,STFT,AS,anomalo,New_AS_177.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_177.wav,1,anomalo,AS,376
SVM,STFT,AS,anomalo,New_AS_187.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_187.wav,1,anomalo,AS,386
SVM,STFT,AS,anomalo,New_AS_188.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\AS_New_3주기\New_AS_188.wav,1,anomalo,AS,387
SVM,STFT,MR,anomalo,New_MR_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_002.wav,1,anomalo,MR,401
SVM,STFT,MR,anomalo,New_MR_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_004.wav,1,anomalo,MR,403
SVM,STFT,MR,anomalo,New_MR_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_008.wav,1,anomalo,MR,407
SVM,STFT,MR,anomalo,New_MR_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_009.wav,1,anomalo,MR,408
SVM,STFT,MR,anomalo,New_MR_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_016.wav,1,anomalo,MR,415
SVM,STFT,MR,anomalo,New_MR_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_023.wav,1,anomalo,MR,422
SVM,STFT,MR,anomalo,New_MR_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_028.wav,1,anomalo,MR,427
SVM,STFT,MR,anomalo,New_MR_035.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_035.wav,1,anomalo,MR,434
SVM,STFT,MR,anomalo,New_MR_036.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_036.wav,1,anomalo,MR,435
SVM,STFT,MR,anomalo,New_MR_050.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_050.wav,1,normal,MR,449
SVM,STFT,MR,anomalo,New_MR_053.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_053.wav,1,anomalo,MR,452
SVM,STFT,MR,anomalo,New_MR_059.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_059.wav,1,anomalo,MR,458
SVM,STFT,MR,anomalo,New_MR_060.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_060.wav,1,anomalo,MR,459
SVM,STFT,MR,anomalo,New_MR_061.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_061.wav,1,anomalo,MR,460
SVM,STFT,MR,anomalo,New_MR_063.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_063.wav,1,anomalo,MR,462
SVM,STFT,MR,anomalo,New_MR_073.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_073.wav,1,anomalo,MR,472
SVM,STFT,MR,anomalo,New_MR_074.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_074.wav,1,anomalo,MR,473
SVM,STFT,MR,anomalo,New_MR_079.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_079.wav,1,anomalo,MR,478
SVM,STFT,MR,anomalo,New_MR_091.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_091.wav,1,anomalo,MR,490
SVM,STFT,MR,anomalo,New_MR_093.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_093.wav,1,anomalo,MR,492
SVM,STFT,MR,anomalo,New_MR_098.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_098.wav,1,anomalo,MR,497
SVM,STFT,MR,anomalo,New_MR_102.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_102.wav,1,anomalo,MR,501
SVM,STFT,MR,anomalo,New_MR_104.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_104.wav,1,anomalo,MR,503
SVM,STFT,MR,anomalo,New_MR_108.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_108.wav,1,anomalo,MR,507
SVM,STFT,MR,anomalo,New_MR_118.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_118.wav,1,anomalo,MR,517
SVM,STFT,MR,anomalo,New_MR_122.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_122.wav,1,anomalo,MR,521
SVM,STFT,MR,anomalo,New_MR_132.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_132.wav,1,anomalo,MR,531
SVM,STFT,MR,anomalo,New_MR_134.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_134.wav,1,anomalo,MR,533
SVM,STFT,MR,anomalo,New_MR_136.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_136.wav,1,anomalo,MR,535
SVM,STFT,MR,anomalo,New_MR_144.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_144.wav,1,anomalo,MR,543
SVM,STFT,MR,anomalo,New_MR_147.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_147.wav,1,anomalo,MR,546
SVM,STFT,MR,anomalo,New_MR_149.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_149.wav,1,anomalo,MR,548
SVM,STFT,MR,anomalo,New_MR_155.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_155.wav,1,anomalo,MR,554
SVM,STFT,MR,anomalo,New_MR_161.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_161.wav,1,anomalo,MR,560
SVM,STFT,MR,anomalo,New_MR_163.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_163.wav,1,anomalo,MR,562
SVM,STFT,MR,anomalo,New_MR_171.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_171.wav,1,anomalo,MR,570
SVM,STFT,MR,anomalo,New_MR_172.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_172.wav,1,anomalo,MR,571
SVM,STFT,MR,anomalo,New_MR_179.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_179.wav,1,anomalo,MR,578
SVM,STFT,MR,anomalo,New_MR_186.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_186.wav,1,anomalo,MR,585
SVM,STFT,MR,anomalo,New_MR_195.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MR_New_3주기\New_MR_195.wav,1,anomalo,MR,594
SVM,STFT,MS,anomalo,New_MS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_012.wav,1,anomalo,MVP,611
SVM,STFT,MS,anomalo,New_MS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_013.wav,1,anomalo,MS,612
SVM,STFT,MS,anomalo,New_MS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_015.wav,1,anomalo,MS,614
SVM,STFT,MS,anomalo,New_MS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_019.wav,1,anomalo,MS,618
SVM,STFT,MS,anomalo,New_MS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_020.wav,1,anomalo,MS,619
SVM,STFT,MS,anomalo,New_MS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_026.wav,1,anomalo,MS,625
SVM,STFT,MS,anomalo,New_MS_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_028.wav,1,anomalo,MS,627
SVM,STFT,MS,anomalo,New_MS_031.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_031.wav,1,anomalo,MS,630
SVM,STFT,MS,anomalo,New_MS_035.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_035.wav,1,anomalo,MS,634
SVM,STFT,MS,anomalo,New_MS_036.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_036.wav,1,anomalo,MS,635
SVM,STFT,MS,anomalo,New_MS_046.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_046.wav,1,anomalo,MS,645
SVM,STFT,MS,anomalo,New_MS_049.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_049.wav,1,anomalo,MS,648
SVM,STFT,MS,anomalo,New_MS_053.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_053.wav,1,anomalo,MS,652
SVM,STFT,MS,anomalo,New_MS_074.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_074.wav,1,anomalo,MS,673
SVM,STFT,MS,anomalo,New_MS_075.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_075.wav,1,anomalo,MS,674
SVM,STFT,MS,anomalo,New_MS_078.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_078.wav,1,anomalo,MS,677
SVM,STFT,MS,anomalo,New_MS_085.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_085.wav,1,anomalo,MS,684
SVM,STFT,MS,anomalo,New_MS_089.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_089.wav,1,anomalo,MS,688
SVM,STFT,MS,anomalo,New_MS_091.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_091.wav,1,anomalo,MS,690
SVM,STFT,MS,anomalo,New_MS_098.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_098.wav,1,anomalo,MS,697
SVM,STFT,MS,anomalo,New_MS_100.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_100.wav,1,anomalo,MS,699
SVM,STFT,MS,anomalo,New_MS_107.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_107.wav,1,anomalo,MS,706
SVM,STFT,MS,anomalo,New_MS_112.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_112.wav,1,anomalo,MS,711
SVM,STFT,MS,anomalo,New_MS_114.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_114.wav,1,anomalo,MS,713
SVM,STFT,MS,anomalo,New_MS_118.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_118.wav,1,anomalo,MS,717
SVM,STFT,MS,anomalo,New_MS_121.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_121.wav,1,anomalo,MS,720
SVM,STFT,MS,anomalo,New_MS_124.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_124.wav,1,anomalo,MR,723
SVM,STFT,MS,anomalo,New_MS_128.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_128.wav,1,anomalo,MS,727
SVM,STFT,MS,anomalo,New_MS_130.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_130.wav,1,anomalo,MS,729
SVM,STFT,MS,anomalo,New_MS_135.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_135.wav,1,anomalo,MS,734
SVM,STFT,MS,anomalo,New_MS_139.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_139.wav,1,anomalo,MS,738
SVM,STFT,MS,anomalo,New_MS_145.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_145.wav,1,anomalo,MS,744
SVM,STFT,MS,anomalo,New_MS_148.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_148.wav,1,anomalo,MS,747
SVM,STFT,MS,anomalo,New_MS_150.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_150.wav,1,anomalo,MS,749
SVM,STFT,MS,anomalo,New_MS_152.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_152.wav,1,anomalo,MS,751
SVM,STFT,MS,anomalo,New_MS_158.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_158.wav,1,anomalo,MS,757
SVM,STFT,MS,anomalo,New_MS_162.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_162.wav,1,anomalo,MS,761
SVM,STFT,MS,anomalo,New_MS_182.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\MS_New_3주기\New_MS_182.wav,1,anomalo,MS,781
