clase,archivo,ruta,duracion_s,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,afinidad_N,afinidad_AS,afinidad_MR,afinidad_MS,afinidad_MVP
N,New_N_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_017.wav,2.063625,0.09048592170312415,0.12139403950963923,0.08798635082692972,0.1075889345720173,0.08608175653402894,0.21235405441851568,0.16583445093575452,0.21664314714275368,0.1851989859416222,0.21996936156135385
N,New_N_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_018.wav,2.100625,0.08704410363441478,0.11855804125152077,0.08333551153513277,0.10774989022681386,0.08238107543011806,0.21310029941758715,0.16561261941149402,0.21951743962520037,0.18056966363331164,0.2211999779124067
N,New_N_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_019.wav,2.09175,0.0879614647765005,0.11658600073709215,0.08536290185079932,0.10281661966428031,0.08069501288735875,0.20990143629605168,0.16694122124724567,0.2143106446509504,0.18638172031526237,0.22246497749048988
N,New_N_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_020.wav,2.077,0.08882929874628756,0.12264296258544254,0.08518599012546733,0.1036517132365093,0.08042035879342184,0.21051154016230927,0.16061836759028822,0.21673749985680124,0.18697242728732616,0.22516016510327513
N,New_N_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_021.wav,2.1105,0.08287375473325323,0.10697608845239813,0.0783463033434581,0.0959019794811528,0.07803393699945994,0.20824592547405174,0.1717261480630253,0.21592677086363274,0.18763412393174617,0.21646703166754405
N,New_N_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_022.wav,2.087875,0.08458877741713162,0.1182590719340637,0.08471108361760941,0.1062232637394335,0.08354852853048103,0.21681067871868573,0.1656143956289546,0.21659864414547722,0.1823537777114769,0.21862250379540546
N,New_N_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_023.wav,2.116625,0.0892121368120077,0.12404467094874481,0.08769185762498045,0.10287600336652307,0.08069629654995789,0.21114927049007368,0.15979712682358987,0.2137329973161603,0.18928510944991447,0.22603549592026168
N,New_N_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_024.wav,2.10925,0.08608679296066318,0.11436013871466146,0.08226769919337576,0.10277215873412925,0.08219616618801759,0.21118207946551298,0.1684323071655981,0.21773385043463042,0.18479327558689929,0.21785848734735916
N,New_N_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_025.wav,2.103,0.10822541023261423,0.13433291168303862,0.10087294848333356,0.11710301552071674,0.09661000450802709,0.20404362200947745,0.16558320086633843,0.21640539954747243,0.19005489701013867,0.22391288056657305
N,New_N_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_026.wav,2.1105,0.09129908623037489,0.12440165240441287,0.08787267533732707,0.11072118851731325,0.08737675036917197,0.21353364272472705,0.16385368550025808,0.21946783508163295,0.1828045554517983,0.2203402812415835
N,New_N_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_027.wav,2.116625,0.08607387253913705,0.11472307740934833,0.08211239775866447,0.10544328149372068,0.08201798153202854,0.21200784298010306,0.16858323940470032,0.21883435361240888,0.18157485583821772,0.21899970816456998
N,New_N_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_028.wav,2.087,0.08568779301709048,0.12466334891015232,0.08731457923342369,0.10500534029149904,0.0801196706130984,0.2163773594729522,0.15841520577808976,0.2135796066964713,0.1853940462831526,0.226233781769334
N,New_N_029.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_029.wav,2.103,0.09490787542383927,0.11817023767250896,0.08717380791562497,0.10691294563761407,0.08496510400428213,0.20469837562629373,0.16993884877664978,0.2177636057895148,0.1859535656565905,0.2216456041509514
N,New_N_030.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_030.wav,2.1105,0.08940856922803951,0.11818308638352444,0.08414484875182864,0.10519099801181434,0.0834961327524739,0.20976634969650343,0.16663372722294795,0.21878818163257366,0.1848851572194068,0.219926584228568
N,New_N_031.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_031.wav,2.09825,0.08779862311312152,0.11245138991461694,0.08661563198597579,0.10342312784553627,0.08472163389918945,0.21106224155368072,0.1732838392305768,0.21306920150964614,0.18626251242050088,0.21632220528559537
N,New_N_032.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_032.wav,2.083625,0.08714320454683826,0.11529679819467073,0.08299759109073887,0.10323148787752075,0.08238325714089195,0.21052185456727465,0.16806666576536614,0.21762086069566633,0.18509759069497808,0.21869302827671472
N,New_N_033.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_033.wav,2.1105,0.09346074859422403,0.12778217993102023,0.08808529782163559,0.11336041842223869,0.08715589924599186,0.2123863784397373,0.1613919219935775,0.22171898836062154,0.18112905659457973,0.22337365461148395
N,New_N_034.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_034.wav,2.1405,0.08875127169675089,0.12358259360962183,0.0831808626942543,0.10679147262926242,0.08340388990685883,0.21223798084380283,0.1606226171907986,0.2219099054629628,0.1837151736131334,0.22151432288930242
N,New_N_035.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_035.wav,2.09175,0.08862953813410887,0.11949045313203546,0.08830936153083761,0.10573429840088622,0.08382808385529925,0.21298965382634974,0.16639363408607893,0.21353590754949175,0.1857507105345605,0.2213300940035191
N,New_N_036.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_036.wav,2.084375,0.08480262557238374,0.11594877114136583,0.08148202541056453,0.1012567768499311,0.07664845121336789,0.21050683801292447,0.16407915645061316,0.21617384858256555,0.1845434481336951,0.22469670882020162
N,New_N_037.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_037.wav,3.00725,0.14659919392012907,0.1718185864068141,0.14183999080047047,0.12691589152710767,0.10556971974325381,0.1846667324833668,0.15092720199842094,0.19183322589723464,0.21616006472253238,0.2564127748984452
N,New_N_038.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_038.wav,2.975375,0.14504887570765504,0.17102971138965714,0.14083663412470343,0.12568228132119658,0.10480330649899838,0.1853905217089836,0.15059857345350192,0.1917442515693684,0.21645816238823,0.25580849087991614
N,New_N_039.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_039.wav,2.958625,0.1438365885891059,0.1705770146849595,0.14086962477902468,0.12526948161844112,0.10412970053444018,0.1863770405073122,0.15048272787521338,0.1908537507566401,0.21622263126674907,0.2560638495940851
N,New_N_040.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_040.wav,2.846,0.14898272992483913,0.17353414041985188,0.14385401808700635,0.1297828690787452,0.10826062431508433,0.18468289580327243,0.15174917504814334,0.1924179775606725,0.21534452003620322,0.2558054315517085
N,New_N_041.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_041.wav,2.59225,0.06714023770530983,0.12030182528409672,0.0806547351172019,0.09185176130011427,0.07131466260256508,0.23047420076865643,0.15063297189541225,0.2068560104696213,0.18913229432396605,0.22290452254234397
N,New_N_042.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_042.wav,2.574,0.0757510650731068,0.13263056829707962,0.08464169053809187,0.1076698769471741,0.08040714451008935,0.2323499929914126,0.14740867029646487,0.2163981118478765,0.1799887466589628,0.22385447820528326
N,New_N_043.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_043.wav,2.65575,0.06861663453047633,0.12469564128537491,0.08264158667647743,0.1015318043716732,0.07576783557044897,0.23555695550730169,0.15040334913676223,0.2105563085362546,0.18102431780840886,0.22245906901127252
N,New_N_044.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_044.wav,2.5635,0.06903108164075313,0.12260826070693533,0.07964145468991521,0.09618826152658404,0.07368341431478435,0.23050944260763356,0.15015594611758798,0.21175053137288583,0.1854961984433747,0.22208788145851796
N,New_N_045.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_045.wav,2.672875,0.072312147591818,0.12526755282764165,0.08308492644151921,0.09946377311287356,0.07445238297496637,0.22936480407033935,0.1501553650432503,0.21042547156423955,0.18458328350353378,0.225471075818637
N,New_N_046.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_046.wav,2.691625,0.07888080781824733,0.13201513920307445,0.08697179815241896,0.10105899648343417,0.08037186789774214,0.22641804063963292,0.14801422394458982,0.2122267132273938,0.18960776026231765,0.22373326192606582
N,New_N_047.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_047.wav,2.605625,0.07221959260783911,0.12612575814149252,0.08329351577265104,0.09891605296573316,0.07612064279115209,0.23031475656504727,0.14963478460216179,0.2107885492734777,0.18602390692575763,0.22323800263355567
N,New_N_048.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_048.wav,2.642625,0.06559756174625654,0.11906008499578874,0.07655972014698656,0.09400845771787723,0.07231515630667067,0.23188864278026586,0.15119298730665343,0.212418843231774,0.1847438185195056,0.21975570816180126
N,New_N_049.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_049.wav,2.6025,0.0704752432930754,0.12563478686176519,0.08027711602444158,0.10096328203933877,0.0748467551163545,0.23164285047143443,0.14899613996609581,0.21417250020480044,0.18150667645810237,0.2236818328995669
N,New_N_050.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_050.wav,2.575125,0.07340393828327174,0.12772149867747887,0.08376141268668474,0.10253831186280918,0.07709767384066071,0.23089254642576382,0.14951727711742904,0.21253201590169424,0.18288864066730778,0.2241695198878051
N,New_N_051.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_051.wav,2.68825,0.06963020780778754,0.12282517007818176,0.0804838989910325,0.09806529585606553,0.07316570062709028,0.2304738283639057,0.15059251530146495,0.21130609799732572,0.18358111413631517,0.22404644420098854
N,New_N_052.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_052.wav,2.58525,0.07342774247061466,0.1325237203708229,0.08627519342811535,0.10562079599992985,0.08025346103879644,0.23554871859233661,0.14681157206629866,0.21254169001007017,0.18206674248993693,0.22303127684135773
N,New_N_053.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_053.wav,2.618875,0.06873099299823018,0.12323964516651208,0.07950128158917642,0.09715724671660446,0.07354654066202468,0.23133044130203698,0.14957201055840888,0.21223302837587912,0.18427646192608038,0.22258805783759456
N,New_N_054.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_054.wav,2.62825,0.06846720245461901,0.12274915979760136,0.07828871301818065,0.09797349755962785,0.07325978880981399,0.2312508749789636,0.14979197546656992,0.21377649974969054,0.1826282743435235,0.2225523754612524
N,New_N_055.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_055.wav,2.593375,0.07223811364809482,0.1289563308164579,0.08257092503895645,0.10156805420103662,0.07647613889910058,0.23183427501656387,0.14727138589080216,0.21344096704129972,0.1833475001578218,0.2241058718935126
N,New_N_056.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_056.wav,2.58425,0.06733602823785316,0.12136177415886967,0.08011901448662366,0.09200882240635504,0.07055848838283606,0.23002818031044872,0.14930569629087082,0.20766743594792145,0.18882477547951113,0.2241739119712479
N,New_N_057.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_057.wav,2.67975,0.0655530691065003,0.11937904989705753,0.07642701060551312,0.09572207271390674,0.07046599017160077,0.23181295855492964,0.15070480460650976,0.21249942901748547,0.1821041551658013,0.22287865265527365
N,New_N_058.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_058.wav,2.5685,0.06574606057835404,0.12055351696293971,0.07668792862737642,0.09491388782467605,0.06983495144484259,0.23143238826550333,0.14928065435011037,0.21203531206552584,0.1832671920025596,0.2239844533163007
N,New_N_059.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_059.wav,2.678875,0.07022507514746769,0.12607497188600036,0.08437944034038466,0.09781437618248649,0.07558650937084996,0.2329604430662669,0.1490183560012252,0.20801989940917764,0.1868216201437163,0.22317968137961397
N,New_N_060.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_060.wav,2.6695,0.06485429705655012,0.11516663044553974,0.07416191891647247,0.09101403176338874,0.06967247815463955,0.22881992962141814,0.1529998121461931,0.2124006576878004,0.18561181617215122,0.22016778437243717
N,New_N_061.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_061.wav,2.596375,0.07085263227623029,0.12546266976087433,0.08123483597027138,0.10254186359910465,0.0759252417586581,0.2324150493782508,0.1501514542001021,0.2138911305212053,0.1803701139897013,0.22317225191074042
N,New_N_062.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_062.wav,2.642625,0.07128261244006158,0.12541442983668166,0.08307306873385252,0.09813150193056495,0.07519364238033988,0.23071140627393294,0.1496221426275929,0.20994465652486338,0.18611718273715136,0.22360461183645947
N,New_N_063.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_063.wav,2.601625,0.06784299234386681,0.12088982904545954,0.07875520881626885,0.09563656864176232,0.0742055421917523,0.2313961829836381,0.1513744586567952,0.212052436809197,0.18526416193070183,0.21991275961966794
N,New_N_064.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_064.wav,2.583125,0.06764674433023757,0.1186156645626098,0.07867455661832988,0.09310411729293855,0.07034356389424846,0.22856628795946252,0.1520295495495478,0.20926549785236076,0.18645077906726515,0.22368788557136368
N,New_N_065.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_065.wav,2.689,0.07177987402541448,0.12091645097477159,0.07880651034150848,0.09873692690899492,0.07602862725094485,0.22764019902497584,0.15364944745411635,0.21519685578207856,0.1834807734127563,0.22003272432607288
N,New_N_066.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_066.wav,2.5685,0.06553677036517727,0.11839435958066018,0.07651184388994237,0.09333560644537345,0.06991841491142887,0.23055977619476642,0.1510558215778841,0.21117973031728704,0.18458673712109686,0.2226179347889655
N,New_N_067.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_067.wav,2.601375,0.0712705251769437,0.12369362831107797,0.07988114092491455,0.0994785940556056,0.07280229178872333,0.22848308451282898,0.15021646504545036,0.21327389959453455,0.182326243333875,0.2257003075133111
N,New_N_068.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_068.wav,2.46625,0.07017177163360631,0.12102810033557677,0.078887351241652,0.096219471813561,0.07242089512218217,0.22766289473861073,0.1515651208795863,0.212329935863903,0.18483885687122845,0.2236031916466715
N,New_N_069.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_069.wav,2.540375,0.07327611517864156,0.11243938325292964,0.07136292977066941,0.10024960984081131,0.07068360290244896,0.21865990591836335,0.15984609357614105,0.2220323440115103,0.17621936737235755,0.22324228912162777
N,New_N_070.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_070.wav,2.5585,0.08172962399188313,0.11153011095524126,0.07625343638745453,0.09921803640665014,0.07459596605610018,0.21004715720332134,0.16549287920043998,0.21945376323115842,0.18262315444310187,0.22238304592197836
N,New_N_071.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_071.wav,2.583375,0.07032030575726364,0.10611376725078135,0.06952154857555605,0.09724660316729758,0.07016802201750798,0.2190656563374369,0.16451862629704603,0.22046998054520106,0.17661303675104204,0.21933270006927388
N,New_N_072.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_072.wav,2.53825,0.07192093572540435,0.1082516323406215,0.07153876151122816,0.09787830282057379,0.07052502280621575,0.21860041530094096,0.16346516387323262,0.21926978557925098,0.17760936123057822,0.22105527401599717
N,New_N_073.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_073.wav,2.571125,0.0779353419289614,0.11568758212702876,0.07548052552164067,0.10194420348456963,0.07385426875983749,0.2165630349412353,0.1601104257218143,0.22085805073531792,0.17871828997278094,0.22375019862885145
N,New_N_074.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_074.wav,2.544125,0.07686766985712519,0.11974573750231525,0.07810235603640577,0.1045777843661349,0.07790681753360842,0.222584086023236,0.15795029639599215,0.22039633658852223,0.17832790684414862,0.22074137414810116
N,New_N_075.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_075.wav,2.565375,0.07880395281798573,0.12238072391146507,0.0788012749395396,0.10650569098170731,0.07660120320927387,0.2210096355546531,0.1559588408315904,0.22101437030088475,0.177078368602838,0.22493878471003387
N,New_N_076.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_076.wav,2.52925,0.0780115112713002,0.11410744920566647,0.07654286460569505,0.10101468726945653,0.07347017798034404,0.21598653772019002,0.16181416981421126,0.21853916726685094,0.1796823684490198,0.2239777567497279
N,New_N_077.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_077.wav,2.553125,0.07427521690079485,0.11326335187968072,0.07317623787822379,0.09999347146772503,0.071714916770021,0.21854985630535578,0.1599896433357246,0.22047978132218968,0.17790827834409118,0.22307244069263887
N,New_N_078.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_078.wav,2.526125,0.07164400053154799,0.10690539372821865,0.0691673810689167,0.09798577729739255,0.06936121200598518,0.2172668538985364,0.16386373428227546,0.22161447988876015,0.17598383168091222,0.22127110024951582
N,New_N_079.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_079.wav,2.562,0.0867986850584392,0.12759257175457558,0.0846756311613077,0.10872690082098851,0.08181802192868853,0.21652375982425906,0.156233110972531,0.2202327006869036,0.18168502582339588,0.2253254026929105
N,New_N_080.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_080.wav,2.535125,0.08053618518414858,0.12161723003205789,0.07961598339636816,0.10612861404763256,0.0761323974006825,0.21843586690449168,0.15725113248343567,0.2200498409447239,0.1779945666223164,0.22626859304503238
N,New_N_081.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_081.wav,2.581,0.0683495948645524,0.10644132391741651,0.06894082416580763,0.09357004369190755,0.06648266804947693,0.2190610948122867,0.1615180385500542,0.21802741859387434,0.1790360302750018,0.22235741776878304
N,New_N_082.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_082.wav,2.571875,0.07742172106013089,0.11768028457850337,0.07694137625960482,0.10173770886913185,0.07398372975130178,0.21835932166220323,0.15823376457693006,0.21920003808114336,0.17975846126968598,0.2244484144100373
N,New_N_083.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_083.wav,2.5835,0.08025828844211062,0.12218279358806561,0.07832200081397164,0.10636547369640889,0.07895983068575937,0.21965381407279866,0.15706452268261675,0.22308280727743837,0.17825146045490453,0.2219473955122418
