clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
KNN,MFCC,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,MelSpectrogram,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
KNN,MelSpectrogram,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
KNN,MelSpectrogram,3,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,MelSpectrogram,4,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
KNN,MelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
KNN,DeepONMF_W,1,144,37,3,16,0.905,0.9,0.925,0.9795918367346939,0.9125000000000001
KNN,DeepONMF_W,2,140,34,6,20,0.87,0.875,0.85,0.958904109589041,0.8625
KNN,DeepONMF_W,3,139,33,7,21,0.86,0.86875,0.825,0.952054794520548,0.846875
KNN,DeepONMF_W,4,138,35,5,22,0.865,0.8625,0.875,0.965034965034965,0.86875
KNN,DeepONMF_W,5,145,35,5,15,0.9,0.90625,0.875,0.9666666666666667,0.890625
KNN,DeepONMF_H3,1,157,31,9,3,0.94,0.98125,0.775,0.9457831325301205,0.878125
KNN,DeepONMF_H3,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
KNN,DeepONMF_H3,3,155,26,14,5,0.905,0.96875,0.65,0.9171597633136095,0.809375
KNN,DeepONMF_H3,4,154,33,7,6,0.935,0.9625,0.825,0.9565217391304348,0.89375
KNN,DeepONMF_H3,5,158,28,12,2,0.93,0.9875,0.7,0.9294117647058824,0.84375
UjaNet,STFT,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,STFT,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,STFT,3,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
UjaNet,STFT,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,STFT,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,DeepONMF_W,1,154,39,1,6,0.965,0.9625,0.975,0.9935483870967742,0.96875
UjaNet,DeepONMF_W,2,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
UjaNet,DeepONMF_W,3,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
UjaNet,DeepONMF_W,4,152,40,0,8,0.96,0.95,1.0,1.0,0.975
UjaNet,DeepONMF_W,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
UjaNet,DeepONMF_H3,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
UjaNet,DeepONMF_H3,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
UjaNet,DeepONMF_H3,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
UjaNet,DeepONMF_H3,4,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
UjaNet,DeepONMF_H3,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
