clasificador,representacion,distribucion,Score_mean,Accuracy_mean,Sensitivity_mean,Specificity_mean,Precision_mean
UjaNet,DeepONMF_W,17-3,0.943125,0.966,0.98125,0.905,0.9765066625204628
UjaNet,DeepONMF_W,8-5-3,0.94375,0.964,0.9775,0.91,0.9774993138943272
UjaNet,DeepONMF_W,14-8-3,0.94375,0.964,0.9775,0.91,0.9775367164515988
UjaNet,DeepONMF_W,16-4,0.950625,0.963,0.97125,0.93,0.9823378386828776
KNN,DeepONMF_H3,8-5-3,0.92375,0.962,0.9875,0.86,0.9657917762689768
UjaNet,DeepONMF_W,16-3,0.949375,0.961,0.96875,0.93,0.9823590376139638
UjaNet,DeepONMF_W,15-10-5,0.940625,0.959,0.97125,0.91,0.9774645020051438
KNN,DeepONMF_H3,10-6-4,0.936875,0.959,0.97375,0.9,0.9750387149596847
UjaNet,DeepONMF_W,10-6-4,0.930625,0.958,0.97625,0.885,0.9715124551797172
KNN,DeepONMF_H3,15-10-5,0.90625,0.952,0.9825,0.8300000000000001,0.9587088074405512
KNN,DeepONMF_H3,9-8-7,0.878125,0.937,0.97625,0.78,0.9472595566655692
SVM,DeepONMF_W,17-3,0.935625,0.93,0.92625,0.945,0.9853684210526316
SVM,DeepONMF_W,16-4,0.930625,0.925,0.92125,0.94,0.9839989403037795
SVM,DeepONMF_W,9-8-7,0.926875,0.925,0.92375,0.93,0.9814028023077828
SVM,DeepONMF_W,15-10-5,0.93,0.924,0.92,0.94,0.9840331446336784
KNN,DeepONMF_W,17-3,0.898125,0.924,0.94125,0.8550000000000001,0.9628819591411713
SVM,DeepONMF_W,14-8-3,0.924375,0.915,0.90875,0.94,0.9838387367392104
KNN,DeepONMF_W,16-3,0.890625,0.912,0.92625,0.8550000000000001,0.962359626181158
SVM,DeepONMF_W,8-3,0.92,0.911,0.905,0.935,0.9824349213080984
SVM,DeepONMF_W,10-6-4,0.92125,0.91,0.9025,0.94,0.9837072251702792
SVM,DeepONMF_W,16-3,0.915625,0.91,0.90625,0.925,0.9797998272244848
SVM,DeepONMF_W,8-5-3,0.920625,0.906,0.89625,0.945,0.9849659373824916
KNN,DeepONMF_W,14-8-3,0.869375,0.905,0.92875,0.8099999999999999,0.9515400265636856
KNN,DeepONMF_W,16-4,0.8875,0.904,0.915,0.86,0.9633700566095212
KNN,DeepONMF_W,8-3,0.866875,0.904,0.92875,0.805,0.9503607332073244
KNN,DeepONMF_W,15-10-5,0.899375,0.902,0.90375,0.8949999999999999,0.9718529914196822
KNN,DeepONMF_W,8-5-3,0.871875,0.897,0.91375,0.8300000000000001,0.955648347374883
KNN,DeepONMF_W,10-6-4,0.87625,0.8949999999999999,0.9075,0.845,0.9593231478407293
KNN,DeepONMF_W,9-8-7,0.8762500000000001,0.8800000000000001,0.8825,0.8699999999999999,0.964450474509183
