pareja,sentido,distribucion,clasificador,origen_predicciones,csv_conteos,csv_porcentajes,png
2,creciente,4-9,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\4_9\pred\KNN\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\KNN\creciente\matriz_confusion.png
2,creciente,4-9,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\4_9\pred\UjaNet\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_02\UjaNet\creciente\matriz_confusion.png
3,decreciente,11-10,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\11_10\clasificadores\SVM\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\decreciente\matriz_confusion.png
3,decreciente,11-10,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\11_10\clasificadores\KNN\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\decreciente\matriz_confusion.png
3,decreciente,11-10,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\11_10\clasificadores\UjaNet\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\decreciente\matriz_confusion.png
3,creciente,10-11,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\10_11\pred\SVM\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\SVM\creciente\matriz_confusion.png
3,creciente,10-11,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\10_11\pred\KNN\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\KNN\creciente\matriz_confusion.png
3,creciente,10-11,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\10_11\pred\UjaNet\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_03\UjaNet\creciente\matriz_confusion.png
4,decreciente,16-10,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\16_10\clasificadores\SVM\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\decreciente\matriz_confusion.png
4,decreciente,16-10,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\16_10\clasificadores\KNN\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\decreciente\matriz_confusion.png
4,decreciente,16-10,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\16_10\clasificadores\UjaNet\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\decreciente\matriz_confusion.png
4,creciente,10-16,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\10_16\pred\SVM\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\SVM\creciente\matriz_confusion.png
4,creciente,10-16,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\10_16\pred\KNN\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\KNN\creciente\matriz_confusion.png
4,creciente,10-16,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\10_16\pred\UjaNet\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_04\UjaNet\creciente\matriz_confusion.png
5,decreciente,9-8,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\9_8\clasificadores\SVM\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\decreciente\matriz_confusion.png
5,decreciente,9-8,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\9_8\clasificadores\KNN\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\decreciente\matriz_confusion.png
5,decreciente,9-8,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\9_8\clasificadores\UjaNet\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\decreciente\matriz_confusion.png
5,creciente,8-9,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\8_9\pred\SVM\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\creciente\matriz_confusion.png
5,creciente,8-9,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\8_9\pred\KNN\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\creciente\matriz_confusion.png
5,creciente,8-9,UjaNet,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\inc\8_9\pred\UjaNet\H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\creciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\creciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\creciente\matriz_confusion.png
6,decreciente,14-8,SVM,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\14_8\clasificadores\SVM\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\SVM\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\SVM\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\SVM\decreciente\matriz_confusion.png
6,decreciente,14-8,KNN,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\resultados\configuraciones\14_8\clasificadores\KNN\multiclase\DeepONMF_H2,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\KNN\decreciente\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\KNN\decreciente\matriz_confusion_porcentajes.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\KNN\decreciente\matriz_confusion.png
