pareja,sentido,distribucion,numero_capas,clasificador,representacion,predicciones,aciertos,accuracy_directa,mayor_error_real,mayor_error_predicha,mayor_error_cantidad,ruta_png
5,creciente,8-9,2,SVM,DeepONMF_H2,1000,883,0.883,MVP,MR,21,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\SVM\creciente\matriz_confusion.png
5,creciente,8-9,2,KNN,DeepONMF_H2,1000,736,0.736,AS,MR,54,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\KNN\creciente\matriz_confusion.png
5,creciente,8-9,2,UjaNet,DeepONMF_H2,1000,941,0.941,MR,AS,8,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_05\UjaNet\creciente\matriz_confusion.png
6,decreciente,14-8,2,SVM,DeepONMF_H2,1000,891,0.891,MVP,MR,20,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\SVM\decreciente\matriz_confusion.png
6,decreciente,14-8,2,KNN,DeepONMF_H2,1000,795,0.795,MS,MR,36,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\KNN\decreciente\matriz_confusion.png
6,decreciente,14-8,2,UjaNet,DeepONMF_H2,1000,947,0.947,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\UjaNet\decreciente\matriz_confusion.png
6,creciente,8-14,2,SVM,DeepONMF_H2,1000,863,0.863,MVP,MR,28,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\SVM\creciente\matriz_confusion.png
6,creciente,8-14,2,KNN,DeepONMF_H2,1000,741,0.741,AS,MR,54,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\KNN\creciente\matriz_confusion.png
6,creciente,8-14,2,UjaNet,DeepONMF_H2,1000,937,0.937,MR,AS,12,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_06\UjaNet\creciente\matriz_confusion.png
7,decreciente,10-3,2,SVM,DeepONMF_H2,1000,910,0.91,MVP,MR,14,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_07\SVM\decreciente\matriz_confusion.png
7,decreciente,10-3,2,KNN,DeepONMF_H2,1000,865,0.865,MVP,MR,22,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_07\KNN\decreciente\matriz_confusion.png
7,decreciente,10-3,2,UjaNet,DeepONMF_H2,1000,947,0.947,MR,AS,7,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_07\UjaNet\decreciente\matriz_confusion.png
7,creciente,3-10,2,SVM,DeepONMF_H2,1000,861,0.861,MVP,MR,26,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_07\SVM\creciente\matriz_confusion.png
7,creciente,3-10,2,KNN,DeepONMF_H2,1000,706,0.706,AS,MR,56,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_07\KNN\creciente\matriz_confusion.png
7,creciente,3-10,2,UjaNet,DeepONMF_H2,1000,934,0.934,MVP,N,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_07\UjaNet\creciente\matriz_confusion.png
8,decreciente,17-10,2,SVM,DeepONMF_H2,1000,890,0.89,MVP,MR,24,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_08\SVM\decreciente\matriz_confusion.png
8,decreciente,17-10,2,KNN,DeepONMF_H2,1000,763,0.763,MS,MR,49,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_08\KNN\decreciente\matriz_confusion.png
8,decreciente,17-10,2,UjaNet,DeepONMF_H2,1000,946,0.946,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_08\UjaNet\decreciente\matriz_confusion.png
8,creciente,10-17,2,SVM,DeepONMF_H2,1000,867,0.867,MVP,MR,24,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_08\SVM\creciente\matriz_confusion.png
8,creciente,10-17,2,KNN,DeepONMF_H2,1000,685,0.685,AS,MR,87,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_08\KNN\creciente\matriz_confusion.png
8,creciente,10-17,2,UjaNet,DeepONMF_H2,1000,935,0.935,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_08\UjaNet\creciente\matriz_confusion.png
9,decreciente,7-4,2,SVM,DeepONMF_H2,1000,897,0.897,MVP,MR,17,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_09\SVM\decreciente\matriz_confusion.png
9,decreciente,7-4,2,KNN,DeepONMF_H2,1000,846,0.846,MVP,MR,27,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_09\KNN\decreciente\matriz_confusion.png
9,decreciente,7-4,2,UjaNet,DeepONMF_H2,1000,946,0.946,MS,MVP,8,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_09\UjaNet\decreciente\matriz_confusion.png
9,creciente,4-7,2,SVM,DeepONMF_H2,1000,877,0.877,MVP,MR,24,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_09\SVM\creciente\matriz_confusion.png
9,creciente,4-7,2,KNN,DeepONMF_H2,1000,761,0.761,MS,MR,44,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_09\KNN\creciente\matriz_confusion.png
9,creciente,4-7,2,UjaNet,DeepONMF_H2,1000,940,0.94,MR,AS,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_09\UjaNet\creciente\matriz_confusion.png
10,decreciente,9-8-7,3,SVM,DeepONMF_H3,1000,885,0.885,MVP,MR,21,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_10\SVM\decreciente\matriz_confusion.png
10,decreciente,9-8-7,3,KNN,DeepONMF_H3,1000,749,0.749,MS,MR,45,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_10\KNN\decreciente\matriz_confusion.png
10,decreciente,9-8-7,3,UjaNet,DeepONMF_H3,1000,939,0.939,MR,AS,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_10\UjaNet\decreciente\matriz_confusion.png
10,creciente,7-8-9,3,SVM,DeepONMF_H3,1000,865,0.865,MVP,MR,34,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_10\SVM\creciente\matriz_confusion.png
10,creciente,7-8-9,3,KNN,DeepONMF_H3,1000,724,0.724,AS,MR,54,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_10\KNN\creciente\matriz_confusion.png
10,creciente,7-8-9,3,UjaNet,DeepONMF_H3,1000,945,0.945,AS,MR,7,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\resultados\matrices_confusion\pareja_10\UjaNet\creciente\matriz_confusion.png
