distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
15-10-5,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,2,17,3,3,0.76,0.4,0.85,0.1666666666666666,0.625,5
15-10-5,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,2,17,3,3,0.76,0.4,0.85,0.1666666666666666,0.625,5
10-6-4,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,2,17,3,3,0.76,0.4,0.85,0.25,0.625,5
10-6-4,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
8-5-3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
8-5-3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
9-8-7,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9759523809523808,0.984375,200
9-8-7,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.908460414892874,0.940625,200
9-8-7,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9417441860465116,0.9625,200
9-8-7,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9252925935852764,0.953125,200
9-8-7,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9503919907102284,0.96875,200
15-10-5,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
15-10-5,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.05,0.5,5
10-6-4,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
10-6-4,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.0666666666666666,0.5,5
8-5-3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
8-5-3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
